record_id,normalized_note,synthesis_source,content_provenance,full_text_status,claim_use_status,source_bytes,source_lines,source_sha256
1,notes/papers/0001.md,notes/original_sources/0001.md,current-cycle full-text remediation and verification of the historical paper-specific note,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,paper-specific note ready for synthesis,5805,63,00067ca500c3a7a5c3690a0ea775604bb3efe76ae9f6ff01212faca3bd1ac3de
2,notes/papers/0002.md,notes/original_sources/0002.md,current-cycle full-text remediation and verification of the historical paper-specific note,current-cycle full text independently read and title-checked from the NAACL/arXiv version,paper-specific note ready for synthesis,5006,66,65321bbf6a9e94494337fc216f15bad35c5d5afbf9f1039092c96cfce6e477e9
3,notes/papers/0003.md,notes/original_sources/0003.md,current-cycle full-text remediation and verification of the historical paper-specific note,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,paper-specific note ready for synthesis,5393,59,d36c24e0002c4744320958246ce2edec967a25a44e806002aeab74d7ccc9999f
4,notes/papers/0004.md,notes/original_sources/0004.md,current-cycle full-text remediation and verification of the historical paper-specific note,current-cycle full text independently read and title-checked from the ICLR/arXiv version,paper-specific note ready for synthesis,4580,63,a1af0bfc5b33d0138441365887a9f98dd921b5b1816ddfe709c0524e99f6d046
5,notes/papers/0005.md,notes/original_sources/0005.md,current-cycle full-text remediation and verification of the historical paper-specific note,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,paper-specific note ready for synthesis,5253,64,c324ea30863e9af080ae88a7f8c41fa74c7162e3da1f9645a9c0dbf39f0b1d68
6,notes/papers/0006.md,notes/original_sources/0006.md,current-cycle full-text remediation replacing templated historical note,current-cycle full text independently read and title-checked from the 43-page NeurIPS/arXiv paper,paper-specific note ready for synthesis,9895,112,becffb61889f6f0e57f45252c52a46b7b38916c50ef54068984598f811f156c9
7,notes/papers/0007.md,notes/original_sources/0007.md,current-cycle full-text remediation and verification of historical note,current-cycle full text independently read and title-checked from the 12-page OpenAI paper,paper-specific note ready for synthesis,4631,50,2a5cf7ccbc5212e37df3f770644afe9373609e4281472274fa90159924215cbf
8,notes/papers/0008.md,notes/original_sources/0008.md,current-cycle full-text remediation and verification of the historical paper-specific note,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,paper-specific note ready for synthesis,5362,73,74fcbff4397716dbf9da586f5dfa4256819c9e26aeedfa3bac482f7fe616f891
9,notes/papers/0009.md,notes/original_sources/0009.md,current-cycle full-text remediation and verification of the historical paper-specific note,current-cycle full text independently read and title-checked from the ICLR/arXiv version,paper-specific note ready for synthesis,5011,58,0eb874751627701eb3abbc23d27e90fb5580ae91e509b20970c24019f4069cda
11,notes/papers/0011.md,notes/original_sources/0011.md,current-cycle full-text remediation and verification of the historical paper-specific note,current-cycle full text independently read and title-checked from the NeurIPS/arXiv version,paper-specific note ready for synthesis,4936,64,cb2df0538db504aff1d65704c021f226875923ec3ca22c3274b2f9a1e7b2fa55
